p_0,v_0,t_0,p_1,v_1,t_1,p_2,v_2,t_2,p_3,v_3,t_3,p_4,v_4,t_4,p_5,v_5,t_5
16.50595764,64.49860557,0.070469799,13.82502638,62.04689668,0.07114094,13.56622638,56.28551134,0.069127517,17.47017699,59.65699603,0.067785235,17.39113402,62.29701794,0.067785235,16.63904925,58.89977287,0.067785235
15.20124963,64.35679336,0.073288591,12.58860793,61.95253912,0.073986577,12.38467153,56.24038138,0.071892617,16.15107344,59.59320456,0.070496644,16.07985948,62.22994462,0.070496644,15.33854953,58.78807041,0.070496644
13.99751977,64.21354986,0.076107383,11.45825362,61.86384255,0.076832215,11.30786055,56.23046103,0.074657718,14.91720407,59.5394949,0.073208054,14.83659848,62.16673455,0.073208054,14.12468187,58.68949585,0.073208054
12.92919059,64.07350064,0.078926174,10.44838636,61.78366913,0.079677852,10.2997351,56.2431851,0.077422819,13.77483048,59.49686435,0.075919463,13.66509717,62.10806905,0.075919463,13.00263476,58.60526856,0.075919463
11.92892232,63.93966565,0.081744966,9.56332108,61.71863879,0.08252349,9.361872391,56.2789706,0.080187919,12.78806081,59.47836389,0.078630872,12.62016029,62.06267126,0.078630872,12.00964891,58.55124511,0.078630872
10.99221163,63.81304211,0.084563758,8.752989628,61.66610683,0.085369128,8.553713747,56.35645949,0.08295302,11.8707324,59.47519313,0.081342282,11.63986344,62.02706744,0.081342282,11.07025604,58.51584186,0.081342282
10.14219664,63.69996774,0.08738255,8.015114078,61.62696623,0.088214765,7.831207682,56.46313326,0.085718121,11.021329,59.48757153,0.084053691,10.72361401,62.00151141,0.084053691,10.18342403,58.49927211,0.084053691
9.390832655,63.60528533,0.090201342,7.388007269,61.61229509,0.091060403,7.182680166,56.59596403,0.088483221,10.26862842,59.53293231,0.086765101,9.909655728,61.99933067,0.086765101,9.391923437,58.52150977,0.086765101
8.715843744,63.5263988,0.093020134,6.840049709,61.61794924,0.09390604,6.637021578,56.7683314,0.091248322,9.562484631,59.59855084,0.08947651,9.14348407,62.01240106,0.08947651,8.663190832,58.56692087,0.08947651
8.126728856,63.46626725,0.095838926,6.357463449,61.64242346,0.096751678,6.170292616,56.97541916,0.094013423,8.901430785,59.68388187,0.092187919,8.423478014,62.04038086,0.092187919,7.99529145,58.63479793,0.092187919
7.647770058,63.43825277,0.098657718,5.948292082,61.69141347,0.099597315,5.758316803,57.20853953,0.096778523,8.322983056,59.80640538,0.094899329,7.786710415,62.09728484,0.094899329,7.439337513,58.74409571,0.094899329
7.218508827,63.43173818,0.10147651,5.593040441,61.77057364,0.102442953,5.410864113,57.47501179,0.099543624,7.797540091,59.95377378,0.097610738,7.214945405,62.17365009,0.097610738,6.938379474,58.88030519,0.097610738
6.833602491,63.4470967,0.104295302,5.257650086,61.87088262,0.105288591,5.115772838,57.77837035,0.102308725,7.317274166,60.12319095,0.100322148,6.702333096,62.26722282,0.100322148,6.48076728,59.04023134,0.100322148
6.493512755,63.49746832,0.107114094,4.935831491,61.99239522,0.108134228,4.842010066,58.10491595,0.105073826,6.903440209,60.33022119,0.103033557,6.298999913,62.38978702,0.103033557,6.065914513,59.23966614,0.103033557
6.175145427,63.57489042,0.109932886,4.620319557,62.14739908,0.110979866,4.585537629,58.45649709,0.107838926,6.526124297,60.56454346,0.105744966,5.96403377,62.53265567,0.105744966,5.666528629,59.46681643,0.105744966
5.873616397,63.67497413,0.112751678,4.316785995,62.32402498,0.113825503,4.330746856,58.84263923,0.110604027,6.177585257,60.82085283,0.108456376,5.676346886,62.69164463,0.108456376,5.28223438,59.7160511,0.108456376
5.591013403,63.80328236,0.11557047,4.030617133,62.52021638,0.116671141,4.07572838,59.24657496,0.113369128,5.871300654,61.1111155,0.111167785,5.435178398,62.87472081,0.111167785,4.9301831,59.99856089,0.111167785
5.331207009,63.96250085,0.118389262,3.779021997,62.74065135,0.119516779,3.821264929,59.66773263,0.116134228,5.606040056,61.42762456,0.113879195,5.197623646,63.07549957,0.113879195,4.630989802,60.30583962,0.113879195
5.088542689,64.14170615,0.121208054,3.575615385,62.9855505,0.122362416,3.584309261,60.11356986,0.118899329,5.372448108,61.76310098,0.116590604,4.959318353,63.28885402,0.116590604,4.376454758,60.6307103,0.116590604
4.863577558,64.34044013,0.124026846,3.399425139,63.24693338,0.125208054,3.369987186,60.5714065,0.12166443,5.187336578,62.12494886,0.119302013,4.712571161,63.51921494,0.119302013,4.198225527,60.97936301,0.119302013
4.670586753,64.56921018,0.126845638,3.246888323,63.52433913,0.128053691,3.176555293,61.03932887,0.12442953,5.032044792,62.50817123,0.122013423,4.474794848,63.76289283,0.122013423,4.07608151,61.34605261,0.122013423
4.494449465,64.81364848,0.12966443,3.100669416,63.82574405,0.130899329,3.015328658,61.51894534,0.127194631,4.887607767,62.90510881,0.124724832,4.252107956,64.01501807,0.124724832,3.978677737,61.72375009,0.124724832
4.333268321,65.07277915,0.132483221,2.945514928,64.14048808,0.133744966,2.869984994,62.00414622,0.129959732,4.74458839,63.31932779,0.127436242,4.062253813,64.27764254,0.127436242,3.895792681,62.11448004,0.127436242
4.187879685,65.35040062,0.135302013,2.783947003,64.46759035,0.136590604,2.733394906,62.4922317,0.132724832,4.585410787,63.74819624,0.130147651,3.916566429,64.54898878,0.130147651,3.78909028,62.51416587,0.130147651
4.049171235,65.64136285,0.138120805,2.619411793,64.80975291,0.139436242,2.603071519,62.98197686,0.135489933,4.420377433,64.18522748,0.13285906,3.795012501,64.82516237,0.13285906,3.663951065,62.91783236,0.13285906
3.913874387,65.94104321,0.140939597,2.475350519,65.16499712,0.142281879,2.479921024,63.46939008,0.138255034,4.251863426,64.6315679,0.13557047,3.700497259,65.10680829,0.13557047,3.512538457,63.325013,0.13557047
3.781003658,66.2493786,0.143758389,2.352768375,65.52889741,0.145127517,2.365494678,63.95355762,0.141020134,4.109275762,65.08541454,0.138281879,3.619071783,65.39298325,0.138281879,3.357174687,63.73172982,0.138281879
3.651803506,66.56536945,0.146577181,2.255208498,65.90106305,0.147973154,2.263215994,64.4330756,0.143785235,3.988459477,65.54225616,0.140993289,3.541219884,65.6811789,0.140993289,3.214621785,64.1362774,0.140993289
3.526201798,66.88414304,0.149395973,2.18467831,66.2841224,0.150818792,2.187210202,64.90212989,0.146550336,3.896860276,66.00183426,0.143704698,3.46528733,65.97139513,0.143704698,3.095514704,64.53722378,0.143704698
3.404653104,67.20505987,0.152214765,2.114173679,66.67196371,0.15366443,2.128222202,65.36320195,0.149315436,3.824502723,66.46133725,0.146416107,3.392882559,66.26289356,0.146416107,3.020466293,64.92917658,0.146416107
3.29202967,67.52644329,0.155033557,2.041844205,67.06392492,0.156510067,2.086384561,65.81591949,0.152080537,3.748274804,66.9191397,0.149127517,3.324266529,66.55456913,0.149127517,2.961578802,65.31439554,0.149127517
