p_0,v_0,t_0,p_1,v_1,t_1,p_2,v_2,t_2,p_3,v_3,t_3,p_4,v_4,t_4,p_5,v_5,t_5,p_6,v_6,t_6
19.7484271,60.81762216,0.069342282,18.42123004,55.96199708,0.067087248,22.05615897,55.38980485,0.063704698,18.40390271,54.55216868,0.064268456,17.32540348,51.81297163,0.062577181,17.76907768,48.84639526,0.062013423,17.39445138,46.23851015,0.063704698
17.67072995,60.41881902,0.072644295,16.80089471,55.60936504,0.070281879,20.14540524,55.26305867,0.066738255,16.57199564,54.43871609,0.067328859,15.80754045,51.67084316,0.065557047,16.26841269,48.86265678,0.064966443,15.95498239,46.37190223,0.066738255
15.83505711,59.97685383,0.075946309,15.29856681,55.24341565,0.07347651,18.39837486,55.11249384,0.069771812,14.90720465,54.30461539,0.070389262,14.49322118,51.51596821,0.068536913,14.8353325,48.87352352,0.067919463,14.65565682,46.50556474,0.069771812
14.24557462,59.49621394,0.079248322,13.88826685,54.86882801,0.076671141,16.79490182,54.9399858,0.072805369,13.39961051,54.15589796,0.073449664,13.36642537,51.34960855,0.071516779,13.51276992,48.88237019,0.070872483,13.43906046,46.64062963,0.072805369
12.79919083,58.99683843,0.082550336,12.54959604,54.49075317,0.079865772,15.31452789,54.7462174,0.075838926,12.04177866,53.99566008,0.076510067,12.28475711,51.1792133,0.074496644,12.28391182,48.89430351,0.073825503,12.23227721,46.77867408,0.075838926
11.47561013,58.48838259,0.085852349,11.29246482,54.11860035,0.083060403,13.94105531,54.53084962,0.078872483,10.82023534,53.82680151,0.07957047,11.19919391,51.01086282,0.07747651,11.15045265,48.91165294,0.076778523,10.95222043,46.92413737,0.078872483
10.26622479,57.98058462,0.089154362,10.12148162,53.75902453,0.086255034,12.64971237,54.30446584,0.08190604,9.671255954,53.65641273,0.082630872,10.10859458,50.84796595,0.080456376,10.12714364,48.93870749,0.079731544,9.677050226,47.0776182,0.08190604
9.168523993,57.48317345,0.092456376,9.05671527,53.41794653,0.089449664,11.45270987,54.07009443,0.084939597,8.579849822,53.48971821,0.085691275,9.061250839,50.69931493,0.083436242,9.21052394,48.9856396,0.082684564,8.471408425,47.24080431,0.084939597
8.185353598,57.00888061,0.095758389,8.114460557,53.10145122,0.092644295,10.36558205,53.83084781,0.087973154,7.562556599,53.33028765,0.088751678,8.163295657,50.57321493,0.086416107,8.351691818,49.05167549,0.085637584,7.408856949,47.41559814,0.087973154
7.296419918,56.57400795,0.099060403,7.314988143,52.8185797,0.095838926,9.438481706,53.59443145,0.091006711,6.659202813,53.18336126,0.091812081,7.407493453,50.47024704,0.089395973,7.547559466,49.13945495,0.088590604,6.655879752,47.61206025,0.091006711
